make_model,body_type,body_type,km,Gearing Type,price
Audi A1,Sedans,Sedans,56013,Automatic,15770
Audi A1,Sedans,Sedans,80000,Automatic,14500
Audi A1,Sedans,Sedans,83450,Automatic,14640
Audi A1,Sedans,Sedans,73000,Automatic,14500
Audi A1,Sedans,Sedans,16200,Automatic,16790
Audi A1,Sedans,Sedans,63668,Automatic,15090
Audi A1,Station wagon,Station wagon,62111,Automatic,16422
Audi A1,Compact,Compact,14986,Automatic,14480
Audi A1,Sedans,Sedans,57000,Automatic,16700
Audi A1,Sedans,Sedans,16103,Automatic,17990
Audi A1,Sedans,Sedans,11300,Automatic,18500
Audi A1,Sedans,Sedans,31600,Automatic,18380
Audi A1,Sedans,Sedans,45764,Automatic,18399
Audi A1,Sedans,Sedans,34914,Automatic,17990
Audi A1,Sedans,Sedans,27000,Automatic,18700
Audi A1,Sedans,Sedans,9752,Automatic,18900
Audi A1,Sedans,Sedans,28408,Automatic,18500
Audi A1,Compact,Compact,50280,Automatic,18400
Audi A1,Sedans,Sedans,13406,Automatic,18500
Audi A1,Sedans,Sedans,51160,Automatic,18500
Audi A1,Sedans,Sedans,15850,Automatic,18500
Audi A1,Sedans,Sedans,17000,Automatic,18900
Audi A1,Sedans,Sedans,9077,Automatic,18850
Audi A1,Sedans,Sedans,3000,Automatic,18500
Audi A1,Sedans,Sedans,115000,Manual,8999
Audi A1,Compact,Compact,84029,Manual,11444
Audi A1,Sedans,Sedans,67800,Manual,11300
Audi A1,Compact,Compact,22000,Manual,11290
Audi A1,Compact,Compact,38400,Manual,11290
Audi A1,Sedans,Sedans,83307,Manual,11440
Audi A1,Compact,Compact,39668,Manual,11445
Audi A1,Sedans,Sedans,30353,Manual,11700
Audi A1,Sedans,Sedans,126000,Manual,11900
Audi A1,Compact,Compact,57500,Manual,11949
Audi A1,Sedans,Sedans,73945,Manual,11890
Audi A1,Sedans,Sedans,96000,Manual,11600
Audi A1,Sedans,Sedans,43120,Manual,11900
Audi A1,Compact,Compact,110715,Manual,11630
Audi A1,Compact,Compact,31971,Manual,11880
Audi A1,Compact,Compact,94800,Manual,11800
Audi A1,Compact,Compact,85000,Manual,11850
Audi A1,Compact,Compact,111265,Manual,11569
Audi A1,Sedans,Sedans,97976,Manual,11490
Audi A1,Sedans,Sedans,106000,Manual,11500
Audi A1,Sedans,Sedans,60000,Manual,11790
Audi A1,Compact,Compact,58000,Manual,11490
Audi A1,Compact,Compact,57454,Manual,11470
Audi A1,Compact,Compact,94055,Manual,11480
Audi A1,Sedans,Sedans,56000,Manual,11180
Audi A1,Sedans,Sedans,27600,Manual,11450
Audi A1,Compact,Compact,111670,Manual,11100
Audi A1,Compact,Compact,30500,Manual,10900
Audi A1,Compact,Compact,69500,Manual,10999
Audi A1,Compact,Compact,43500,Manual,10900
Audi A1,Sedans,Sedans,45696,Manual,10950
Audi A1,Sedans,Sedans,34000,Manual,10800
Audi A1,Sedans,Sedans,55000,Manual,10600
Audi A1,Sedans,Sedans,99000,Manual,10800
Audi A1,Sedans,Sedans,85000,Manual,10300
Audi A1,Sedans,Sedans,192000,Manual,10000
Audi A1,Compact,Compact,130000,Manual,10490
Audi A1,Compact,Compact,41294,Automatic,18900
Audi A1,Sedans,Sedans,64000,Automatic,18900
Audi A1,Sedans,Sedans,13135,Automatic,18900
Audi A1,Sedans,Sedans,4250,Automatic,18900
Audi A1,Sedans,Sedans,2949,Automatic,18890
Audi A1,Compact,Compact,22800,Automatic,18890
Audi A1,Sedans,Sedans,5108,Automatic,18880
Audi A1,Sedans,Sedans,11335,Automatic,18880
Audi A1,Compact,Compact,6396,Automatic,18880
Audi A1,Compact,Compact,47800,Automatic,18880
Audi A1,Compact,Compact,30952,Automatic,18880
Audi A1,Sedans,Sedans,33991,Automatic,18880
Audi A1,Sedans,Sedans,35800,Automatic,18870
Audi A1,Sedans,Sedans,7672,Automatic,18850
Audi A1,Sedans,Sedans,13406,Automatic,18500
Audi A1,Compact,Compact,8430,Automatic,18870
Audi A1,Compact,Compact,40488,Automatic,18497
Audi A1,Compact,Compact,24200,Automatic,18490
Audi A1,Compact,Compact,26500,Automatic,18490
Audi A1,Compact,Compact,58806,Automatic,18490
Audi A1,Sedans,Sedans,39000,Automatic,18500
Audi A1,Sedans,Sedans,16700,Automatic,18490
Audi A1,Sedans,Sedans,41900,Automatic,18490
Audi A1,Compact,Compact,15093,Automatic,18480
Audi A1,Sedans,Sedans,5211,Automatic,18480
Audi A1,Compact,Compact,12000,Automatic,18470
Audi A1,Compact,Compact,50066,Automatic,18444
Audi A1,Compact,Compact,51484,Automatic,18400
Audi A1,Sedans,Sedans,14770,Automatic,18400
Audi A1,Sedans,Sedans,12415,Automatic,18900
Audi A1,Sedans,Sedans,26064,Automatic,18900
Audi A1,Sedans,Sedans,16500,Automatic,18900
Audi A1,Sedans,Sedans,9000,Automatic,18900
Audi A1,Sedans,Sedans,12402,Automatic,18900
Audi A1,Sedans,Sedans,14702,Automatic,18900
Audi A1,Sedans,Sedans,14523,Automatic,18900
Audi A1,Sedans,Sedans,9082,Automatic,18900
Audi A1,Sedans,Sedans,9580,Automatic,18900
Audi A1,Sedans,Sedans,10013,Automatic,18900
Audi A1,Sedans,Sedans,10450,Automatic,18900
Audi A1,Sedans,Sedans,14878,Automatic,18900
Audi A1,Sedans,Sedans,10273,Automatic,18900
Audi A1,Compact,Compact,47500,Automatic,18900
Audi A1,Sedans,Sedans,9466,Automatic,18900
Audi A1,Sedans,Sedans,18971,Automatic,18900
Audi A1,Compact,Compact,31877,Automatic,18900
Audi A1,Sedans,Sedans,9878,Automatic,18900
Audi A1,Compact,Compact,17535,Automatic,18900
Audi A1,Compact,Compact,76264,Automatic,18850
Audi A1,Compact,Compact,6695,Automatic,18850
Audi A1,Sedans,Sedans,21275,Automatic,18850
Audi A1,Sedans,Sedans,12261,Automatic,18850
Audi A1,Sedans,Sedans,3620,Automatic,18840
Audi A1,Sedans,Sedans,8330,Automatic,18800
Audi A1,Compact,Compact,20306,Automatic,18750
Audi A1,Sedans,Sedans,27000,Automatic,18700
Audi A1,Sedans,Sedans,31750,Automatic,18690
Audi A1,Sedans,Sedans,19800,Automatic,18600
Audi A1,Sedans,Sedans,52000,Automatic,18500
Audi A1,Sedans,Sedans,15500,Automatic,18500
Audi A1,Sedans,Sedans,65000,Automatic,18500
Audi A1,Sedans,Sedans,14493,Automatic,18500
Audi A1,Sedans,Sedans,33500,Automatic,18500
Audi A1,Compact,Compact,4800,Automatic,18333
Audi A1,Compact,Compact,51000,Automatic,18350
Audi A1,Sedans,Sedans,7307,Automatic,18349
Audi A1,Compact,Compact,4800,Automatic,18333
Audi A1,Compact,Compact,5500,Automatic,18333
Audi A1,Sedans,Sedans,35500,Automatic,18300
Audi A1,Sedans,Sedans,40000,Automatic,18290
Audi A1,Sedans,Sedans,14551,Automatic,18250
Audi A1,Compact,Compact,26700,Automatic,18185
Audi A1,Sedans,Sedans,8000,Automatic,18150
Audi A1,Compact,Compact,15000,Automatic,18000
Audi A1,Compact,Compact,14436,Automatic,17998
Audi A1,Compact,Compact,72624,Automatic,17998
Audi A1,Sedans,Sedans,13960,Automatic,17990
Audi A1,Sedans,Sedans,40301,Automatic,17990
Audi A1,Compact,Compact,3087,Automatic,17990
